id,recipe_name,type_of_dish,main_ingredient,cuisine,cooking_method,prep_time,cook_time,instructions
15,Chicken Parmesan,Main Course,Chicken,Italian,Baking,20 minutes,30 minutes,"Preheat oven to 200°C (400°F). Pound chicken breasts to an even thickness. Dredge in flour, dip in beaten egg, and coat with breadcrumbs. Fry in olive oil until golden brown. Place chicken in a baking dish, top with marinara sauce and mozzarella cheese. Bake for 20-25 minutes until chicken is cooked through and cheese is melted. Serve with spaghetti."
16,Vegetable Soup,Appetizer,Vegetables,Western,Simmering,15 minutes,30 minutes,"In a large pot, heat olive oil and sauté onions, garlic, and celery until softened. Add chopped vegetables (carrots, potatoes, green beans) and vegetable broth. Bring to a boil, then reduce heat and simmer until vegetables are tender. Season with salt, pepper, and herbs. Serve hot with crusty bread."
17,Beef Tacos,Main Course,Beef,Mexican,Grilling,10 minutes,15 minutes,"Season ground beef with taco seasoning and cook in a skillet until browned. Warm taco shells or tortillas. Fill each shell with beef, shredded lettuce, diced tomatoes, and cheese. Top with salsa and a squeeze of lime juice. Serve with a side of sour cream and guacamole."
18,Quiche Lorraine,Main Course,Eggs,French,Baking,20 minutes,40 minutes,"Preheat oven to 180°C (350°F). Prepare pie crust and fit into a pie dish. In a bowl, whisk together eggs, cream, salt, and pepper. Stir in cooked bacon and grated cheese. Pour into pie crust and bake for 35-40 minutes until set and golden brown. Let cool slightly before serving."
19,Buffalo Wings,Appetizer,Chicken,American,Frying,15 minutes,25 minutes,"Preheat oil in a deep fryer or large pot. Toss chicken wings in a mixture of flour and spices. Fry in batches until crispy and cooked through. In a separate bowl, mix hot sauce and melted butter. Toss fried wings in the sauce. Serve with celery sticks and blue cheese dressing."
20,Chili Con Carne,Main Course,Beef,Mexican,Simmering,15 minutes,45 minutes,"In a large pot, cook ground beef with onions and garlic until browned. Add chopped bell peppers, tomatoes, and kidney beans. Stir in chili powder, cumin, and paprika. Simmer for 30-40 minutes until thickened. Season with salt and pepper. Serve with cornbread or over rice."
21,Chicken Caesar Wrap,Snack,Chicken,American,Rolling,10 minutes,10 minutes,"In a bowl, combine cooked chicken strips with Caesar dressing and Parmesan cheese. Place a tortilla on a flat surface and spread with a layer of Caesar dressing. Add the chicken mixture and some chopped romaine lettuce. Roll up tightly and cut in half. Serve immediately."
22,Sweet and Sour Pork,Main Course,Pork,Chinese,Stir-Frying,15 minutes,20 minutes,"Cut pork into bite-sized pieces and coat with cornstarch. Fry in hot oil until golden brown. Remove and set aside. In the same pan, sauté bell peppers, onions, and pineapple chunks. Stir in sweet and sour sauce and add the pork back in. Cook until sauce thickens. Serve with rice."
23,Eggplant Parmesan,Main Course,Eggplant,Italian,Baking,20 minutes,40 minutes,"Preheat oven to 200°C (400°F). Slice eggplant and coat with flour, egg, and breadcrumbs. Fry until golden brown. In a baking dish, layer eggplant slices with marinara sauce and mozzarella cheese. Bake for 30-35 minutes until bubbly and golden. Let cool before serving."
24,Chicken Fajitas,Main Course,Chicken,Mexican,Grilling,15 minutes,20 minutes,"Slice chicken breasts and marinate in lime juice, oil, and fajita seasoning. Grill or cook in a skillet until cooked through. Slice bell peppers and onions, and cook in the same pan until tender. Serve with warm tortillas, salsa, guacamole, and sour cream."
25,Garlic Mashed Potatoes,Side Dish,Potatoes,American,Boiling,15 minutes,20 minutes,"Peel and cut potatoes into chunks. Boil in salted water until tender. Drain and return to the pot. Mash with butter, cream, and minced garlic. Season with salt and pepper. Serve warm with a sprinkle of chopped parsley."
26,Tom Yum Soup,Appetizer,Shrimp,Thai,Simmering,10 minutes,15 minutes,"In a pot, bring chicken broth to a boil. Add lemongrass, kaffir lime leaves, and galangal. Simmer for 5 minutes. Add shrimp and cook until pink. Stir in fish sauce, lime juice, and chili paste. Garnish with cilantro and serve hot."
27,Beef Wellington,Main Course,Beef,British,Baking,30 minutes,50 minutes,Preheat oven to 200°C (400°F). Sear beef fillet in a hot pan until browned. Let cool. Spread a layer of mushroom duxelles on a sheet of puff pastry. Place the beef on top and wrap in the pastry. Brush with egg wash and bake for 45 minutes. Let rest before slicing.
28,Caprese Salad,Appetizer,Tomato,Italian,Tossing,10 minutes,0 minutes,Arrange slices of fresh tomato and mozzarella cheese on a plate. Top with fresh basil leaves. Drizzle with olive oil and balsamic vinegar. Season with salt and pepper. Serve immediately.
29,Beef Bourguignon,Main Course,Beef,French,Simmering,20 minutes,2 hours,"Preheat oven to 160°C (325°F). In a large pot, brown beef chunks. Remove and set aside. In the same pot, cook onions, carrots, and garlic until softened. Add red wine, beef broth, and tomato paste. Return beef to the pot and add bay leaves. Cover and bake for 1.5-2 hours. Serve with potatoes or crusty bread."
30,Pesto Pasta,Main Course,Pasta,Italian,Boiling,10 minutes,15 minutes,"Cook pasta according to package instructions. In a food processor, blend basil, garlic, pine nuts, Parmesan cheese, and olive oil to make pesto. Toss cooked pasta with the pesto sauce. Serve with extra Parmesan cheese and pine nuts if desired."
31,Shrimp Scampi,Main Course,Shrimp,Italian,Sautéing,15 minutes,20 minutes,"Cook pasta according to package instructions. In a skillet, heat butter and olive oil. Add garlic and cook until fragrant. Add shrimp and cook until pink. Stir in lemon juice, white wine, and parsley. Toss with cooked pasta and serve with lemon wedges."
32,Apple Pie,Dessert,Apple,American,Baking,30 minutes,60 minutes,"Preheat oven to 220°C (425°F). Roll out pie crust and fit into a pie dish. Mix sliced apples with sugar, cinnamon, and flour. Pour into pie crust and top with another crust or lattice. Bake for 45-50 minutes until golden brown and apples are tender. Serve warm with vanilla ice cream."
33,Chicken Pot Pie,Main Course,Chicken,American,Baking,20 minutes,40 minutes,Preheat oven to 200°C (400°F). Cook chicken and vegetables in a skillet with butter and flour. Stir in chicken broth and cream. Pour mixture into a pie dish and top with pie crust. Bake for 35-40 minutes until crust is golden and filling is bubbly.
34,Falafel,Appetizer,Chickpeas,Middle Eastern,Frying,20 minutes,30 minutes,"In a food processor, blend chickpeas with garlic, onions, cilantro, and spices. Form into balls and fry in hot oil until golden brown. Drain on paper towels. Serve with pita bread, hummus, and salad."
35,Clam Chowder,Main Course,Clams,American,Simmering,15 minutes,30 minutes,"In a pot, cook bacon until crispy. Remove and set aside. In the same pot, sauté onions, celery, and garlic until softened. Add clams, potatoes, and clam juice. Simmer until potatoes are tender. Stir in cream and cook until heated through. Garnish with bacon and parsley."
36,Spinach Artichoke Dip,Appetizer,Spinach,American,Baking,10 minutes,20 minutes,"Preheat oven to 180°C (350°F). Mix chopped spinach, artichoke hearts, cream cheese, sour cream, and Parmesan cheese in a bowl. Transfer to a baking dish and bake for 20 minutes until bubbly and golden. Serve with tortilla chips or bread."
37,Jambalaya,Main Course,Rice,Creole,Simmering,15 minutes,45 minutes,"In a large pot, cook sausage and chicken until browned. Remove and set aside. In the same pot, sauté onions, bell peppers, and celery. Add rice, tomatoes, and chicken broth. Stir in spices and return meat to the pot. Simmer until rice is cooked. Garnish with green onions."
38,Stuffed Bell Peppers,Main Course,Bell Peppers,American,Baking,20 minutes,30 minutes,"Preheat oven to 180°C (350°F). Cut tops off bell peppers and remove seeds. In a bowl, mix cooked rice, ground beef, onions, and tomato sauce. Stuff peppers with the mixture and place in a baking dish. Bake for 30 minutes until peppers are tender. Serve hot."
39,Cheese Fondue,Appetizer,Cheese,Swiss,Melting,10 minutes,10 minutes,"In a fondue pot, heat white wine and add grated Swiss cheese in batches, stirring until melted. Add garlic and a splash of lemon juice. Serve with cubes of bread, vegetables, and fruit for dipping."
40,Roasted Chicken,Main Course,Chicken,American,Roasting,20 minutes,60 minutes,"Preheat oven to 180°C (350°F). Rub chicken with olive oil, salt, pepper, and herbs. Roast in a baking dish for 50-60 minutes until internal temperature reaches 75°C (165°F). Let rest before carving. Serve with roasted vegetables or potatoes."
41,Beef Kebabs,Main Course,Beef,Middle Eastern,Grilling,15 minutes,15 minutes,"Cut beef into chunks and marinate in olive oil, lemon juice, garlic, and spices. Thread onto skewers and grill over high heat until cooked to your liking. Serve with rice or flatbread and a side of yogurt sauce."
42,Pumpkin Soup,Appetizer,Pumpkin,American,Simmering,15 minutes,30 minutes,"In a large pot, sauté onions and garlic until soft. Add chopped pumpkin and vegetable broth. Simmer until pumpkin is tender. Puree with an immersion blender until smooth. Stir in cream and season with salt and pepper. Serve warm with crusty bread."
43,Chocolate Chip Cookies,Dessert,Chocolate,American,Baking,15 minutes,10 minutes,"Preheat oven to 180°C (350°F). Cream together butter, sugar, and brown sugar. Beat in eggs and vanilla extract. Gradually add flour, baking soda, and salt. Stir in chocolate chips. Drop spoonfuls of dough onto a baking sheet and bake for 10-12 minutes until edges are golden."
44,Vegetarian Chili,Main Course,Beans,American,Simmering,15 minutes,30 minutes,"In a large pot, sauté onions, garlic, and bell peppers. Add canned tomatoes, kidney beans, black beans, and corn. Stir in chili powder, cumin, and paprika. Simmer for 30 minutes. Season with salt and pepper. Serve with cornbread or over rice."
45,Beef Empanadas,Appetizer,Beef,Latin American,Baking,30 minutes,25 minutes,"Preheat oven to 200°C (400°F). Prepare dough and fill with a mixture of ground beef, onions, olives, and spices. Fold and seal edges, then bake for 20-25 minutes until golden brown. Serve with salsa or dipping sauce."
46,Grilled Cheese Sandwich,Snack,Cheese,American,Grilling,10 minutes,10 minutes,Butter slices of bread and place cheese between them. Grill in a skillet over medium heat until bread is golden and cheese is melted. Serve warm with tomato soup or salad.
47,Banana Bread,Dessert,Banana,American,Baking,15 minutes,60 minutes,"Preheat oven to 175°C (350°F). Mash ripe bananas and mix with flour, sugar, eggs, and baking powder. Pour into a greased loaf pan and bake for 50-60 minutes until a toothpick inserted comes out clean. Let cool before slicing."
48,Chicken Quesadillas,Main Course,Chicken,Mexican,Grilling,10 minutes,10 minutes,"In a skillet, cook chicken with spices until fully cooked. Remove and shred. Place tortillas in a pan, add cheese, chicken, and any other desired fillings. Cook until cheese is melted and tortillas are golden brown. Cut into wedges and serve with salsa."
49,Avocado Toast,Snack,Avocado,American,Toasting,5 minutes,5 minutes,"Toast slices of bread. Spread with mashed avocado and season with salt, pepper, and a drizzle of olive oil. Top with sliced tomatoes, radishes, or a poached egg if desired. Serve immediately."
50,Ratatouille,Main Course,Vegetables,French,Baking,20 minutes,50 minutes,"Preheat oven to 180°C (350°F). Slice vegetables (eggplant, zucchini, bell peppers) thinly. Arrange in a baking dish, layering with tomato sauce and herbs. Bake for 45-50 minutes until vegetables are tender. Serve warm or at room temperature."
51,Crab Cakes,Appetizer,Crab,American,Frying,20 minutes,15 minutes,"Mix crab meat with breadcrumbs, mayonnaise, egg, and seasonings. Form into cakes and fry in hot oil until golden brown. Serve with a side of tartar sauce or aioli."
52,Chicken Shawarma,Main Course,Chicken,Middle Eastern,Grilling,20 minutes,20 minutes,"Marinate chicken in a mixture of yogurt, lemon juice, and spices. Grill until cooked through. Serve in pita bread with lettuce, tomatoes, and tahini sauce."
53,Macaroni and Cheese,Main Course,Pasta,American,Baking,15 minutes,30 minutes,"Cook macaroni according to package instructions. In a saucepan, make a cheese sauce with butter, flour, milk, and cheddar cheese. Mix with macaroni and pour into a baking dish. Top with more cheese and bake until bubbly and golden."
54,Buffalo Chicken Dip,Appetizer,Chicken,American,Baking,10 minutes,20 minutes,"Mix shredded chicken with cream cheese, hot sauce, ranch dressing, and cheese. Transfer to a baking dish and bake until bubbly. Serve with tortilla chips or celery sticks."
55,Turkey Meatballs,Main Course,Turkey,American,Baking,15 minutes,25 minutes,"Preheat oven to 180°C (350°F). Mix ground turkey with breadcrumbs, egg, and spices. Form into meatballs and bake for 20-25 minutes until cooked through. Serve with marinara sauce or as a meatball sub."
56,Egg Drop Soup,Appetizer,Eggs,Chinese,Simmering,10 minutes,10 minutes,Heat chicken broth in a pot. Slowly stir in beaten eggs and cook until eggs form ribbons. Add soy sauce and garnish with sliced green onions. Serve hot.
57,Pulled Pork Sandwiches,Main Course,Pork,American,Slow Cooking,15 minutes,8 hours,Season pork shoulder and cook in a slow cooker with BBQ sauce for 8 hours. Shred the meat and serve on buns with coleslaw and additional BBQ sauce.
58,Frittata,Main Course,Eggs,Italian,Baking,10 minutes,25 minutes,Preheat oven to 180°C (350°F). Sauté vegetables in a skillet. Whisk eggs with cheese and pour over the vegetables. Transfer to the oven and bake until set. Serve warm or at room temperature.
59,Crème Brûlée,Dessert,Cream,French,Baking,20 minutes,45 minutes,"Preheat oven to 150°C (300°F). Whisk egg yolks with sugar and vanilla, then stir in cream. Pour into ramekins and bake in a water bath for 30-35 minutes. Cool and chill. Caramelize sugar on top with a torch before serving."
60,Teriyaki Chicken,Main Course,Chicken,Japanese,Grilling,15 minutes,20 minutes,Marinate chicken in teriyaki sauce and grill until cooked through. Serve with steamed rice and vegetables.
62,Chicken Kiev,Main Course,Chicken,Ukrainian,Baking,20 minutes,40 minutes,"Preheat oven to 200°C (400°F). Flatten chicken breasts and spread with a mixture of butter, garlic, and herbs. Roll up and coat with breadcrumbs. Bake for 30-35 minutes until cooked through and golden brown."
63,Spaghetti Carbonara,Main Course,Pasta,Italian,Sautéing,10 minutes,20 minutes,"Cook pasta according to package instructions. In a skillet, cook pancetta or bacon until crispy. Whisk eggs and Parmesan cheese together. Toss cooked pasta with bacon and the egg mixture. Serve immediately with extra cheese and black pepper."
64,Sweet Potato Fries,Snack,Sweet Potato,American,Baking,10 minutes,30 minutes,"Preheat oven to 220°C (425°F). Cut sweet potatoes into fries and toss with olive oil, salt, and paprika. Arrange on a baking sheet and bake for 25-30 minutes until crispy. Serve with dipping sauce."
65,Pad Thai,Main Course,Noodles,Thai,Stir-Frying,15 minutes,15 minutes,"Soak rice noodles in warm water. In a pan, stir-fry tofu or shrimp with garlic and vegetables. Add soaked noodles, tamarind paste, fish sauce, and sugar. Cook until well combined. Garnish with peanuts, cilantro, and lime wedges."
66,Banana Split,Dessert,Banana,American,Assembling,10 minutes,0 minutes,"Slice bananas lengthwise and place in a dish. Top with scoops of vanilla, chocolate, and strawberry ice cream. Drizzle with chocolate and strawberry sauces. Add whipped cream, nuts, and cherries on top."
67,Chicken Marsala,Main Course,Chicken,Italian,Sautéing,15 minutes,25 minutes,"Pound chicken breasts and dredge in flour. Sauté in a skillet with butter until golden brown. Remove chicken and set aside. In the same pan, cook mushrooms, then add Marsala wine and chicken broth. Return chicken to the pan and simmer until cooked through. Serve with pasta or mashed potatoes."
68,Beef Stir-Fry,Main Course,Beef,Chinese,Stir-Frying,15 minutes,15 minutes,"Heat oil in a wok or skillet. Stir-fry beef strips with vegetables (bell peppers, broccoli, carrots). Add soy sauce and oyster sauce. Cook until beef is tender and vegetables are crisp. Serve with rice or noodles."
69,Eggplant Rollatini,Main Course,Eggplant,Italian,Baking,20 minutes,35 minutes,"Preheat oven to 180°C (350°F). Slice eggplant and bake until tender. Spread with ricotta cheese mixture and roll up. Place in a baking dish, cover with marinara sauce, and top with mozzarella cheese. Bake for 30-35 minutes until bubbly."
70,Pumpkin Pie,Dessert,Pumpkin,American,Baking,15 minutes,60 minutes,"Preheat oven to 220°C (425°F). Mix pumpkin puree with eggs, cream, sugar, and spices. Pour into a pie crust and bake for 50-60 minutes until the filling is set. Serve with whipped cream."
71,Chicken and Waffles,Main Course,Chicken,American,Frying,20 minutes,30 minutes,Fry chicken pieces until crispy and cooked through. Prepare waffles according to package instructions or recipe. Serve chicken on top of waffles with maple syrup and butter.
72,Shrimp Tacos,Main Course,Shrimp,Mexican,Grilling,15 minutes,15 minutes,"Marinate shrimp in lime juice, chili powder, and garlic. Grill until cooked through. Serve in tortillas with cabbage slaw, avocado, and a squeeze of lime."
73,Crepes,Dessert,Flour,French,Grilling,10 minutes,10 minutes,"In a bowl, mix flour, eggs, milk, and a pinch of salt. Heat a non-stick pan and pour in a small amount of batter, tilting to spread evenly. Cook until golden and flip. Fill with sweet or savory fillings and serve rolled or folded."
74,Buffalo Chicken Wings,Appetizer,Chicken,American,Frying,15 minutes,25 minutes,Fry chicken wings until crispy. Toss with a mixture of hot sauce and melted butter. Serve with celery sticks and ranch dressing.
75,Chocolate Mousse,Dessert,Chocolate,French,Chilling,15 minutes,2 hours,Melt chocolate and let cool. Whip cream until stiff peaks form. Fold chocolate into whipped cream. Spoon into serving dishes and chill for at least 2 hours. Garnish with chocolate shavings.
76,Teriyaki Beef,Main Course,Beef,Japanese,Grilling,15 minutes,20 minutes,Marinate beef strips in teriyaki sauce. Grill until desired doneness. Serve with steamed rice and vegetables.
77,Greek Moussaka,Main Course,Eggplant,Greek,Baking,30 minutes,60 minutes,"Layer sliced eggplant with a mixture of ground beef, onions, and tomatoes in a baking dish. Top with a béchamel sauce and bake until golden and bubbly."
78,Salmon Sushi,Appetizer,Salmon,Japanese,Rolling,20 minutes,0 minutes,"Place a sheet of nori on a bamboo mat. Spread a thin layer of sushi rice, then add slices of salmon, cucumber, and avocado. Roll tightly and slice into pieces. Serve with soy sauce, pickled ginger, and wasabi."
79,Cauliflower Rice,Side Dish,Cauliflower,American,Sautéing,10 minutes,10 minutes,Grate cauliflower or pulse in a food processor until rice-sized. Sauté in a pan with oil until tender. Season with salt and pepper. Serve as a low-carb alternative to rice.
80,French Onion Soup,Appetizer,Onions,French,Simmering,20 minutes,30 minutes,"Cook sliced onions in butter until caramelized. Add beef broth and simmer. Serve hot, topped with toasted baguette slices and melted Gruyère cheese."
82,Chicken Enchiladas,Main Course,Chicken,Mexican,Baking,20 minutes,30 minutes,"Fill tortillas with shredded chicken, cheese, and enchilada sauce. Roll up and place in a baking dish. Top with more sauce and cheese. Bake until bubbly."
83,Carrot Cake,Dessert,Carrots,American,Baking,20 minutes,40 minutes,"Mix grated carrots with flour, sugar, eggs, and spices. Bake in a greased pan. Cool and frost with cream cheese icing."
84,Salmon Teriyaki,Main Course,Salmon,Japanese,Grilling,15 minutes,15 minutes,Marinate salmon in teriyaki sauce. Grill until cooked through. Serve with rice and vegetables.
85,Quinoa Salad,Side Dish,Quinoa,American,Tossing,15 minutes,0 minutes,"Cook quinoa according to package instructions. Mix with diced vegetables, feta cheese, and a vinaigrette dressing. Serve chilled or at room temperature."
86,Lemon Bars,Dessert,Lemon,American,Baking,15 minutes,30 minutes,"Preheat oven to 180°C (350°F). Prepare a crust with flour, butter, and sugar. Bake until golden. Mix lemon juice, eggs, and sugar for filling. Pour over crust and bake until set. Cool and cut into bars."
87,Chicken Tikka Masala,Main Course,Chicken,Indian,Simmering,20 minutes,30 minutes,"Marinate chicken in yogurt and spices. Cook in a sauce of tomatoes, cream, and spices until chicken is tender. Serve with rice or naan bread."
88,Chili Con Carne,Main Course,Beef,Tex-Mex,Simmering,15 minutes,45 minutes,"Cook ground beef with onions, garlic, and spices. Add tomatoes, kidney beans, and beef broth. Simmer until flavors meld. Serve with cornbread or rice."
89,Lentil Soup,Appetizer,Lentils,American,Simmering,15 minutes,30 minutes,"Sauté onions, garlic, and carrots. Add lentils, vegetable broth, and spices. Simmer until lentils are tender. Serve hot with crusty bread."
93,Pancakes,Breakfast,Flour,American,Grilling,10 minutes,10 minutes,"Mix flour, milk, eggs, and baking powder. Pour batter onto a hot griddle and cook until bubbles form. Flip and cook until golden brown. Serve with syrup and butter."
94,Grilled Shrimp,Appetizer,Shrimp,American,Grilling,15 minutes,5 minutes,"Marinate shrimp in olive oil, garlic, and lemon juice. Skewer and grill until pink and cooked through. Serve with a squeeze of lemon."
95,Vegetable Stir-Fry,Main Course,Vegetables,Chinese,Stir-Frying,10 minutes,10 minutes,"Stir-fry a mix of vegetables (bell peppers, broccoli, carrots) in oil. Add soy sauce and garlic. Cook until vegetables are crisp-tender. Serve with rice or noodles."
98,Tiramisu,Dessert,Coffee,Italian,Chilling,30 minutes,4 hours,Mix mascarpone cheese with sugar and eggs. Layer with coffee-soaked ladyfingers. Chill for at least 4 hours. Dust with cocoa powder before serving.
99,Fruit Salad,Dessert,Mixed Fruits,American,Tossing,15 minutes,0 minutes,"Mix a variety of fresh fruits (berries, melons, apples) in a bowl. Add a drizzle of honey or a squeeze of lemon juice if desired. Serve chilled."
101,Sweet and Sour Chicken,Main Course,Chicken,Chinese,Stir-Frying,15 minutes,15 minutes,"Stir-fry chicken pieces with vegetables. Add a sauce made from vinegar, sugar, ketchup, and soy sauce. Cook until chicken is coated and sauce is thickened."
104,Beef Burritos,Main Course,Beef,Mexican,Baking,20 minutes,30 minutes,"Fill tortillas with seasoned beef, rice, beans, and cheese. Roll up and place in a baking dish. Top with more cheese and bake until bubbly."
105,Lamb Chops,Main Course,Lamb,Mediterranean,Grilling,15 minutes,15 minutes,Season lamb chops with herbs and spices. Grill to desired doneness. Serve with a side of mint yogurt sauce and roasted vegetables.
106,Chicken Noodle Soup,Appetizer,Chicken,American,Simmering,15 minutes,20 minutes,"Cook chicken in broth with carrots, celery, and noodles. Simmer until noodles are tender. Season with salt and pepper. Serve hot with crusty bread."
107,Pumpkin Spice Latte,Beverage,Pumpkin,American,Brewing,5 minutes,5 minutes,"Brew espresso or strong coffee. Heat milk with pumpkin puree, cinnamon, nutmeg, and sugar. Froth milk and combine with coffee. Top with whipped cream and a sprinkle of pumpkin spice."
108,Chicken Satay,Appetizer,Chicken,Thai,Grilling,20 minutes,20 minutes,"Marinate chicken skewers in a mixture of coconut milk, curry powder, and soy sauce. Grill until cooked through. Serve with peanut sauce for dipping."
109,Roasted Brussels Sprouts,Side Dish,Brussels Sprouts,American,Roasting,10 minutes,25 minutes,"Preheat oven to 220°C (425°F). Toss Brussels sprouts with olive oil, salt, and pepper. Roast until crispy and browned. Serve as a side dish."
110,Apple Crisp,Dessert,Apple,American,Baking,15 minutes,45 minutes,"Preheat oven to 190°C (375°F). Mix sliced apples with sugar and cinnamon. Place in a baking dish and top with a crumbly mixture of flour, sugar, and butter. Bake until topping is golden and apples are tender."
112,Cheesecake,Dessert,Cheese,American,Baking,15 minutes,60 minutes,"Preheat oven to 175°C (350°F). Mix cream cheese with sugar, eggs, and vanilla. Pour into a graham cracker crust. Bake until set. Chill before serving. Top with fruit or chocolate if desired."
113,Chicken Caesar Wrap,Main Course,Chicken,Western,Grilling,10 minutes,10 minutes,Grill chicken breasts and slice thinly. Toss with Caesar dressing and wrap in a tortilla with romaine lettuce and Parmesan cheese. Serve with extra dressing on the side.
